duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity_class,energy_loudness,energy_valence,loudness_valence,danceability_energy,acousticness_speechiness,instr_speech_ratio,duration_per_bpm,vocal_intensity,energy_danceability_ratio
201806,0.641,0.614,-8.296,0.0846,0.176,4.73e-05,0.123,0.551,157.969,3,-5.093743999999999,0.338314,-4.571096,0.393574,0.014889599999999998,0.0005590355749911358,1277.5038140394636,-0.7018416,0.9578633718662736
134706,0.348,0.0143,-33.971,0.0406,0.993,0.93,0.102,0.304,70.771,4,-0.4857853,0.0043472,-10.327183999999999,0.0049764,0.0403158,22.900763358778626,1903.4067626570204,-1.3792225999999999,0.04109077325364214
186080,0.598,0.826,-4.867,0.293,0.0646,0.0,0.108,0.698,104.405,1,-4.020142,0.576548,-3.397166,0.49394799999999994,0.0189278,0.0,1782.2901202049711,-1.4260309999999998,1.3812478052206485
310893,0.626,0.746,-8.832,0.0282,0.16,0.0,0.0618,0.8,102.896,4,-6.588672000000001,0.5968,-7.065600000000001,0.466996,0.004512,0.0,3021.429404447209,-0.24906240000000002,1.1916742544048817
333266,0.414,0.914,-5.151,0.25,0.000306,0.0,0.285,0.486,145.001,2,-4.708014,0.444204,-2.503386,0.378396,7.65e-05,0.0,2298.37035606651,-1.28775,2.207676143088331
216973,0.408,0.971,-3.876,0.125,5.7e-05,0.191,0.135,0.237,118.445,4,-3.7635959999999997,0.23012699999999997,-0.918612,0.39616799999999996,7.125e-06,1.5278777697784176,1831.8460044746507,-0.4845,2.379843631283547
245933,0.443,0.651,-5.397,0.219,0.335,0.0,0.0797,0.418,175.651,1,-3.513447,0.27211799999999997,-2.2559460000000002,0.288393,0.073365,0.0,1400.1229711188664,-1.181943,1.4694927879731834
144734,0.598,0.833,-3.716,0.048,0.0196,0.0,0.292,0.406,124.973,1,-3.095428,0.338198,-1.5086960000000003,0.49813399999999997,0.0009408,0.0,1158.1221543853474,-0.17836800000000003,1.3929532950953998
166874,0.666,0.952,-2.492,0.0359,0.0318,0.678,0.216,0.622,128.076,4,-2.372384,0.592144,-1.550024,0.634032,0.00114162,18.880534670008352,1302.9295106030795,-0.08946280000000001,1.4294079668473445
224026,0.603,0.316,-10.803,0.0293,0.842,0.000672,0.0977,0.666,126.802,2,-3.4137480000000004,0.210456,-7.194798000000001,0.190548,0.024670599999999997,0.02292732855680655,1766.7386949732654,-0.31652790000000003,0.5240377439843452
225693,0.443,0.96,-3.153,0.102,0.000779,0.0,0.81,0.263,96.579,4,-3.02688,0.25248,-0.8292390000000001,0.42528,7.9458e-05,0.0,2336.8744758177245,-0.321606,2.166993973048012
223613,0.311,0.224,-9.004,0.031,0.821,0.0,0.269,0.233,139.311,1,-2.016896,0.052192,-2.097932,0.069664,0.025450999999999998,0.0,1605.1352728786671,-0.279124,0.7202340760747242
123360,0.416,0.341,-10.749,0.0391,0.864,0.0,0.724,0.776,177.229,4,-3.6654090000000004,0.264616,-8.341224,0.141856,0.033782400000000004,0.0,696.04861506864,-0.42028590000000005,0.8196918343309055
84009,0.836,0.29,-8.008,0.0437,0.217,1.74e-05,0.16,0.922,135.113,4,-2.3223199999999995,0.26738,-7.383375999999999,0.24243999999999996,0.0094829,0.0003980782429649965,621.768445671401,-0.34994959999999997,0.3468858028014019
280466,0.386,0.652,-11.562,0.0336,0.587,0.0,0.145,0.87,149.577,2,-7.538424,0.56724,-10.05894,0.251672,0.019723199999999996,0.0,1875.0610053684725,-0.3884832,1.6890754125540788
204493,0.386,0.988,-2.692,0.158,0.000116,0.0,0.104,0.443,171.977,4,-2.6596960000000003,0.437684,-1.1925560000000002,0.381368,1.8328e-05,0.0,1189.071794484146,-0.42533600000000005,2.5595191834408433
280653,0.483,0.742,-5.006,0.0326,0.000969,0.00468,0.835,0.252,84.049,3,-3.714452,0.186984,-1.261512,0.358386,3.15894e-05,0.14351425942962281,3339.159299932182,-0.1631956,1.5362000786733194
294826,0.504,0.918,-3.463,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,4,-3.179034,0.4948020000000001,-1.8665570000000002,0.462672,8.4788e-05,0.00040997872751885513,3203.550977388054,-0.1790371,1.8213924326898279
205600,0.689,0.675,-4.281,0.32,0.531,3.17e-06,0.115,0.604,180.077,1,-2.889675,0.4077,-2.585724,0.465075,0.16992000000000002,9.90594043936127e-06,1141.7338138685118,-1.36992,0.97966647799016
225833,0.592,0.893,-2.523,0.0468,0.00176,0.00028,0.36,0.602,145.09,2,-2.2530390000000002,0.537586,-1.518846,0.528656,8.236800000000001e-05,0.005981627857295449,1556.5028602936109,-0.11807640000000001,1.5084204658705092
151880,0.48,0.486,-8.016,0.0302,0.861,0.000201,0.461,0.529,130.634,2,-3.895776,0.257094,-4.240464,0.23328,0.0260022,0.006653426017874876,1162.637598175054,-0.2420832,1.012478906689444
133486,0.504,0.709,-3.162,0.0574,0.346,0.0,0.17,0.786,75.071,3,-2.2418579999999997,0.557274,-2.485332,0.357336,0.019860399999999997,0.0,1778.130036898403,-0.1814988,1.406718120672209
320086,0.542,0.559,-8.189,0.0331,0.24,0.00178,0.153,0.148,115.064,3,-4.577651,0.082732,-1.211972,0.302978,0.007944,0.05376019329507701,2781.808384898839,-0.27105589999999996,1.0313462851238908
157400,0.499,0.059,-20.969,0.0546,0.995,0.89,0.0889,0.171,82.472,1,-1.237171,0.010089,-3.5856990000000004,0.029441,0.054327,16.297381431972166,1908.526530216316,-1.1449074000000001,0.11823410352497946
208373,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,4,-4.426686,0.366718,-2.149668,0.462308,0.027003999999999997,0.02953316667635603,1303.9367220890722,-0.876168,1.6334279430837766
219638,0.76,0.651,-9.997,0.173,0.308,0.0,0.177,0.714,99.955,4,-6.508047,0.464814,-7.137858,0.49476000000000003,0.053284,0.0,2197.368815967185,-1.7294809999999998,0.8565676767410956
283200,0.534,0.942,-1.246,0.0917,0.0617,7.51e-05,0.264,0.489,106.419,1,-1.173732,0.460638,-0.609294,0.503028,0.00565789,0.0008188856177079925,2661.178924816057,-0.1142582,1.7640119098893279
130266,0.664,0.678,-5.369,0.0291,0.877,0.0,0.273,0.955,112.384,2,-3.6401820000000003,0.64749,-5.127395,0.45019200000000004,0.0255207,0.0,1159.1151765375855,-0.15623789999999999,1.0210689598048224
305520,0.554,0.327,-12.79,0.03,0.796,0.00763,0.125,0.0341,144.171,1,-4.18233,0.0111507,-0.43613899999999994,0.181158,0.023880000000000002,0.2542485838053982,2119.1501758328654,-0.3837,0.5902420533925381
237453,0.415,0.398,-7.204,0.0268,0.314,0.0,0.106,0.13,143.582,4,-2.867192,0.05174,-0.93652,0.16517,0.008415200000000001,0.0,1653.7797216921342,-0.1930672,0.9590130358304619
180840,0.404,0.491,-4.749,0.0286,0.513,0.0,0.127,0.399,144.282,2,-2.331759,0.195909,-1.894851,0.198364,0.0146718,0.0,1253.378799850293,-0.13582139999999998,1.2153164525630553
243484,0.375,0.312,-10.656,0.031,0.85,0.00988,0.137,0.22,77.527,4,-3.324672,0.06864,-2.34432,0.11699999999999999,0.02635,0.31860690099967753,3140.6348755917293,-0.330336,0.831977813924962
286573,0.584,0.796,-8.14,0.0291,0.00862,0.00802,0.127,0.678,159.924,3,-6.479440000000001,0.5396880000000001,-5.5189200000000005,0.464864,0.000250842,0.2755066987289591,1791.9324178985016,-0.23687400000000003,1.362990359754114
189176,0.663,0.478,-7.265,0.185,0.095,0.0,0.0705,0.341,85.264,4,-3.47267,0.162998,-2.4773650000000003,0.31691400000000003,0.017575,0.0,2218.708951022706,-1.344025,0.720954435076394
138946,0.646,0.7,-7.449,0.122,0.597,0.0,0.0777,0.913,124.652,3,-5.2143,0.6391,-6.800937,0.4522,0.072834,0.0,1114.671244745371,-0.908778,1.0835745576693858
130240,0.383,0.114,-20.963,0.0416,0.597,0.117,0.103,0.283,115.088,1,-2.3897820000000003,0.032262,-5.932529,0.043662,0.024835199999999998,2.81182408074982,1131.6557764493257,-0.8720608,0.2976423592073314
179374,0.81,0.571,-7.189,0.085,0.0624,1.63e-06,0.094,0.771,125.994,1,-4.104919,0.440241,-5.542719,0.46251,0.0053040000000000006,1.917421479825903e-05,1423.6709684588154,-0.6110650000000001,0.7049295687707559
212571,0.505,0.61,-5.673,0.0362,0.458,0.00194,0.104,0.189,140.013,3,-3.46053,0.11529,-1.072197,0.30805,0.016579600000000003,0.053576360121513386,1518.223307835701,-0.2053626,1.207896873329241
171013,0.576,0.828,-4.792,0.0361,0.564,0.0,0.145,0.972,148.359,2,-3.9677759999999997,0.804816,-4.657824,0.47692799999999996,0.020360399999999997,0.0,1152.697173747464,-0.17299119999999998,1.4374750438360446
164093,0.714,0.721,-5.049,0.0783,0.273,0.245,0.174,0.415,83.021,4,-3.640329,0.29921499999999995,-2.095335,0.514794,0.0213759,3.1285914953390375,1976.5240119969646,-0.3953367,1.009789778854638
148548,0.795,0.507,-7.188,0.0332,0.542,6.83e-06,0.116,0.784,120.009,4,-3.644316,0.397488,-5.635392,0.403065,0.0179944,0.00020566094549834385,1237.8071644626652,-0.23864159999999998,0.6377278273229268
388613,0.271,0.597,-4.128,0.0311,0.158,0.00135,0.246,0.0746,103.29,2,-2.464416,0.0445362,-0.3079488,0.16178700000000001,0.0049138,0.04339440694310512,3762.348726885468,-0.1283808,2.202870742777019
154983,0.724,0.744,-4.757,0.0398,0.00219,4.49e-06,0.116,0.645,119.978,1,-3.539208,0.47988000000000003,-3.068265,0.538656,8.7162e-05,0.00011278573222808338,1291.7618230008836,-0.18932859999999999,1.0276101158823774
155040,0.59,0.586,-9.158,0.0344,0.422,4.46e-05,0.337,0.729,91.17,4,-5.366587999999999,0.42719399999999996,-6.676182,0.34573999999999994,0.0145168,0.001296134844521941,1700.5593945376768,-0.31503519999999996,0.9932035050253386
168773,0.678,0.218,-13.084,0.0288,0.874,0.000697,0.125,0.652,110.964,4,-2.852312,0.142136,-8.530768,0.14780400000000002,0.025171199999999998,0.024192988545643876,1520.9707652932482,-0.37681919999999997,0.3215291809855312
237906,0.616,0.786,-4.778,0.0271,0.395,1.04e-06,0.154,0.455,89.091,2,-3.755508,0.35763,-2.17399,0.484176,0.0107045,3.8362227960162306e-05,2670.3707445196487,-0.12948379999999998,1.2759533124462268
232549,0.54,0.461,-9.427,0.0341,0.236,0.531,0.0865,0.107,89.995,3,-4.345847,0.049327,-1.008689,0.24894000000000002,0.008047599999999999,15.567282321899736,2584.0213345185844,-0.3214607,0.8536878946686173
238906,0.851,0.818,-4.637,0.0789,0.112,2.94e-06,0.0945,0.808,119.006,1,-3.7930659999999996,0.660944,-3.746696,0.6961179999999999,0.0088368,3.725763528069953e-05,2007.5122262743055,-0.36585929999999994,0.9612107965828839
428266,0.524,0.951,-6.851,0.0559,0.00157,0.478,0.129,0.228,108.1,2,-6.515301,0.216828,-1.562028,0.498324,8.776299999999999e-05,8.549454480414951,3961.757631822387,-0.3829709,1.814850861624778
367462,0.451,0.491,-9.858,0.0398,0.643,0.00131,0.0801,0.288,153.768,4,-4.8402780000000005,0.14140799999999998,-2.839104,0.221441,0.0255914,0.0329063049485054,2389.716976223922,-0.39234840000000004,1.0886676570364293
215000,0.474,0.895,-4.443,0.0628,0.000254,0.000177,0.088,0.399,89.998,4,-3.976485,0.357105,-1.772757,0.42423,1.5951199999999997e-05,0.00281802260786499,2388.9419764883664,-0.27902039999999995,1.888145819708445
255333,0.694,0.569,-6.724,0.0244,0.131,1.67e-05,0.0888,0.661,103.997,1,-3.8259559999999997,0.37610899999999997,-4.444564000000001,0.39488599999999996,0.0031964000000000003,0.0006841458418680868,2455.1958229564316,-0.1640656,0.8198729124940564
252000,0.586,0.33,-9.607,0.0389,0.933,8.66e-05,0.111,0.471,136.057,3,-3.1703099999999997,0.15543,-4.524896999999999,0.19338,0.0362937,0.0022256489334361346,1852.1649014751172,-0.37371229999999994,0.5631303220081569
230731,0.633,0.475,-10.37,0.223,0.0217,0.0,0.0942,0.524,150.042,2,-4.925749999999999,0.2489,-5.433879999999999,0.30067499999999997,0.0048391,0.0,1537.7760893616453,-2.31251,0.750383090314529
244053,0.79,0.606,-7.699,0.0519,0.014,0.00488,0.133,0.903,135.276,1,-4.665594,0.547218,-6.952197,0.47874,0.0007266,0.09400886149104218,1804.1115940743368,-0.3995781,0.7670788977354717
225120,0.415,0.978,-2.23,0.0545,7.06e-05,0.00358,0.194,0.33,92.889,2,-2.18094,0.32274,-0.7359,0.40586999999999995,3.8477e-06,0.06567602274811961,2423.537770887834,-0.121535,2.356569721211537
193426,0.631,0.886,-4.879,0.0499,0.00879,0.0,0.0457,0.855,125.024,2,-4.322794,0.75753,-4.171544999999999,0.5590660000000001,0.00043862099999999993,0.0,1547.1109546966982,-0.2434621,1.4040981917877688
326413,0.524,0.852,-4.708,0.0298,0.0159,6.35e-06,0.112,0.635,92.748,2,-4.011216,0.54102,-2.98958,0.446448,0.00047382,0.00021301576652130158,3519.353517056971,-0.14029840000000002,1.6259231694051641
