duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_class
406636,0,0.807,0.698,10,-12.233,0,0.0578,0.00181,0.442,0.0819,0.421,126.002,4,1
133800,0,0.386,0.926,0,-5.669,1,0.0846,0.00141,2.84e-05,0.368,0.71,146.954,4,2
186107,0,0.701,0.868,10,-7.27,0,0.0326,0.00092,0.00207,0.169,0.397,111.979,4,2
295040,0,0.472,0.992,0,-2.863,1,0.0655,4.67e-05,0.331,0.563,0.616,85.027,4,1
256773,0,0.184,0.667,1,-5.998,0,0.0355,0.000817,0.259,0.0813,0.116,69.98,4,2
242946,0,0.72,0.64,8,-7.577,1,0.0461,0.42,0.0,0.117,0.581,94.985,4,3
115506,0,0.369,0.499,6,-9.301,1,0.0448,0.829,1.75e-06,0.154,0.69,192.76,3,1
230626,0,0.575,0.628,2,-7.157,1,0.0345,0.603,0.0,0.18,0.701,83.042,4,2
215906,0,0.62,0.87,7,-5.127,1,0.0721,0.12,0.0,0.165,0.838,178.037,4,2
428567,0,0.402,0.411,0,-8.46,1,0.0303,0.049,0.0,0.106,0.11,140.132,4,3
209880,0,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1,4,4
225852,0,0.458,0.732,6,-6.356,0,0.0446,0.735,0.0,0.164,0.95,135.865,4,3
153782,1,0.874,0.499,5,-8.828,1,0.124,0.404,0.0,0.104,0.599,149.941,4,4
161217,0,0.669,0.62,2,-7.489,0,0.101,0.0595,0.0,0.109,0.382,115.029,4,3
210133,0,0.206,0.754,9,-4.594,1,0.0638,0.962,5.63e-06,0.267,0.627,77.877,4,1
270733,0,0.566,0.585,9,-8.005,1,0.0312,0.385,3.64e-05,0.121,0.52,122.85,4,2
227933,0,0.61,0.945,5,-2.904,0,0.0596,0.084,3.48e-05,0.0713,0.729,140.015,4,3
170133,0,0.686,0.775,9,-4.344,0,0.0344,0.0389,0.0,0.123,0.577,125.975,4,1
306442,0,0.521,0.977,11,-3.664,1,0.052,0.000793,0.306,0.207,0.333,177.69,4,1
259946,0,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,4,4
204393,1,0.602,0.967,5,-4.328,0,0.062,0.000167,6.23e-06,0.0784,0.49,151.01,4,3
171441,0,0.589,0.0418,6,-24.051,0,0.107,0.969,0.0226,0.11,0.687,129.389,4,1
360280,0,0.538,0.688,9,-6.049,0,0.0711,0.778,0.0,0.318,0.893,177.68,4,2
208560,0,0.655,0.83,2,-4.317,1,0.0402,0.169,0.0,0.224,0.754,128.006,4,2
279000,0,0.197,0.268,10,-10.932,1,0.0301,0.882,8.58e-06,0.104,0.125,62.989,5,3
216813,0,0.507,0.772,2,-10.235,1,0.108,0.223,0.0,0.241,0.84,171.137,4,3
151761,0,0.287,0.0245,9,-27.876,1,0.0364,0.994,0.908,0.105,0.432,154.272,3,4
1203490,0,0.509,0.0715,1,-22.005,1,0.0362,0.978,0.734,0.106,0.0386,119.85,4,3
77613,0,0.262,0.136,0,-20.967,1,0.0347,0.98,0.898,0.163,0.188,151.539,3,1
318373,0,0.515,0.854,9,-6.375,1,0.0394,0.0256,0.00023,0.1,0.288,103.448,4,3
303106,0,0.602,0.476,8,-7.278,1,0.028,0.854,0.372,0.103,0.301,118.417,4,3
174160,0,0.358,0.875,0,-4.715,0,0.164,0.000771,0.0,0.161,0.35,131.77,4,2
175866,0,0.531,0.51,4,-13.928,1,0.0481,0.178,8.7e-05,0.282,0.8,128.427,4,4
208213,0,0.627,0.956,8,-2.424,0,0.0482,0.0258,6.77e-06,0.1,0.791,135.074,4,1
200482,0,0.252,0.37,2,-12.03,0,0.0529,0.96,1.32e-05,0.127,0.199,93.309,3,1
269840,0,0.631,0.898,2,-11.435,1,0.104,0.0453,0.00124,0.182,0.854,165.806,4,1
251714,0,0.317,0.38,9,-10.414,1,0.0319,0.467,2.7e-05,0.091,0.191,135.563,3,4
229533,0,0.584,0.883,5,-6.451,0,0.0386,0.000378,0.000876,0.233,0.419,120.216,4,1
136058,0,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87e-05,0.045,0.628,106.0,4,1
228226,0,0.519,0.617,11,-9.221,1,0.036,0.505,0.00226,0.0657,0.538,112.465,4,2
189358,0,0.607,0.782,1,-4.179,1,0.0856,0.305,0.0,0.062,0.747,64.935,4,4
603533,0,0.297,0.158,7,-30.936,0,0.483,0.872,0.0752,0.972,0.112,139.196,3,2
334310,0,0.213,0.611,8,-7.892,1,0.0416,0.233,0.0,0.103,0.169,144.086,4,3
232586,0,0.383,0.465,7,-8.705,1,0.029,0.00171,0.0,0.278,0.553,103.813,4,3
191973,0,0.574,0.734,0,-6.64,1,0.0288,0.000838,3.33e-05,0.183,0.881,149.996,4,4
347960,0,0.232,0.802,4,-4.552,0,0.0372,0.000648,2.53e-06,0.389,0.197,148.266,4,2
286955,0,0.741,0.732,0,-6.514,1,0.0461,0.47,0.0,0.158,0.849,104.035,4,3
264226,0,0.664,0.499,5,-12.929,0,0.0298,0.0589,0.000826,0.103,0.194,110.153,4,3
267773,0,0.423,0.46,4,-6.662,1,0.0313,0.32,0.0,0.0993,0.205,142.108,4,4
156642,0,0.673,0.18,5,-12.841,0,0.0581,0.352,0.898,0.107,0.186,69.979,4,2
255560,0,0.584,0.66,11,-5.078,1,0.0375,0.18,0.0,0.0979,0.868,151.958,4,1
137670,0,0.163,0.998,0,-18.829,1,0.0694,0.417,0.986,0.829,1e-05,112.689,4,3
213307,1,0.801,0.759,7,-4.694,0,0.0494,0.00531,0.0,0.091,0.293,104.002,4,4
191880,0,0.59,0.756,8,-7.578,0,0.252,0.616,0.0,0.713,0.87,101.589,3,3
215546,0,0.456,0.702,4,-8.934,0,0.0351,0.0183,0.0065,0.137,0.183,173.963,4,3
309666,0,0.639,0.476,3,-7.675,0,0.043,0.138,0.0523,0.0865,0.353,160.093,4,3
